SMOIAM1S1E21,CA_000601_46333_00
SMOIAM1S1E22,CA_000601_46324_00
SMOIAM1S1E23,CA_000601_46335_00
SMOIAM1S1E24,CA_000601_46325_00
SMOIAM1S1E25,CA_000601_46326_00
SLCDLL2S1E1,CA_000387_29622_00
SLCDLL2S1E2,CA_000387_29609_00
SLCDLL2S1E3,CA_000387_29623_00
SLCDLL2S1E4,CA_000387_29606_00
SLCDLL2S1E5,CA_000387_29613_00
SLCDLL2S1E6,CA_000387_29614_00
SLCDLL2S1E7,CA_000387_29618_00
SLCDLL2S1E8,CA_000387_29610_00
SLCDLL2S1E9,CA_000387_29626_00
SLCDLL2S1E10,CA_000387_29616_00
SLCDLL2S1E11,CA_000387_29607_00
SLCDLL2S1E12,CA_000387_29615_00
SLCDLL2S1E13,CA_000387_29611_00
SLCDLL2S1E14,CA_000387_29617_00
SLCDLL2S1E15,CA_000387_29624_00
SLCDLL2S1E16,CA_000387_29619_00
SLCDLL2S1E17,CA_000387_29621_00
SLCDLL2S1E18,CA_000387_29625_00
SLCDLL2S1E19,CA_000387_29620_00
SLCDLL2S1E20,CA_000387_29627_00
SLCDLL2S1E21,CA_000387_29608_00
SLCDLL2S1E22,CA_000387_29628_00
SLCDLL2S1E23,CA_000387_29629_00
SLCDLL2S1E24,CA_000387_29612_00
MACORA1,CA_000532_996_00
SMPPAL1S3E15,CA_000494_37979_00
SMPPAL1S3E16,CA_000494_38052_00
SMPPAL1S3E17,CA_000494_37980_00
SMPPAL1S3E18,CA_000494_38038_00
SMPPAL1S3E19,CA_000494_37988_00
SMPPAL1S3E20,CA_000494_37996_00
SMPPAL1S3E21,CA_000494_37990_00
SMPPAL1S3E22,CA_000494_37967_00
SMPPAL1S3E23,CA_000494_38085_00
SMPPAL1S3E24,CA_000494_38002_00
SMPPAL1S3E25,CA_000494_38053_00
SMPPAL1S3E26,CA_000494_38077_00
SMPPAL1S3E27,CA_000494_38086_00
SMPPAL1S3E28,CA_000494_37951_00
SMPPAL1S3E29,CA_000494_38054_00
SMPPAL1S3E30,CA_000494_38022_00
SMPPAL1S3E31,CA_000494_37981_00
SMPPAL1S3E32,CA_000494_38044_00
SMPPAL1S3E33,CA_000494_38064_00
SMPPAL1S3E34,CA_000494_38040_00
SMPPAL1S3E35,CA_000494_37982_00
SMPPAL1S3E36,CA_000494_38003_00
SMPPAL1S3E37,CA_000494_38009_00
SMPPAL1S3E38,CA_000494_37989_00
SMPPAL1S3E39,CA_000494_38087_00
SMPPAL1S3E40,CA_000494_38088_00
SMPPAL1S3E41,CA_000494_38089_00
SMPPAL1S3E42,CA_000494_37952_00
SMPPAL1S3E43,CA_000494_38078_00
SMPPAL1S3E44,CA_000494_37968_00
SMPPAL1S3E45,CA_000494_37997_00
SMPPAL1S3E46,CA_000494_37991_00
SMPPAL1S3E47,CA_000494_38031_00
SMPPAL1S3E48,CA_000494_38065_00
SMPPAL1S3E49,CA_000494_38067_00
SMPPAL1S3E50,CA_000494_37953_00
SMPPAL1S3E51,CA_000494_38090_00
SMPPAL1S3E52,CA_000494_37983_00
SSSCOM1S1E2,CA_000431_38282_00
SSSCOM1S1E3,CA_000431_38283_00
SSSCOM1S1E4,CA_000431_38284_00
SSSCOM1S1E5,CA_000431_38285_00
SSSCOM1S1E6,CA_000431_38286_00
SSSCOM1S1E7,CA_000431_38287_00
SSSCOM1S1E8,CA_000431_38288_00
SSSCOM1S1E9,CA_000431_38290_00
SSSCOM1S1E10,CA_000431_38289_00
SSSCOM1S1E11,CA_000431_38291_00
SSSCOM1S1E12,CA_000431_38292_00
SSSCOM1S1E13,CA_000431_38293_00
SSSCOM1S1E14,CA_000431_38294_00
SSSCOM1S1E15,CA_000431_38295_00
SSSCOM1S1E16,CA_000431_38296_00
SSSCOM1S1E38,CA_000431_38318_00
SCHEFS1S1E1,CA_000374_44533_00
SCHEFS1S1E2,CA_000374_44534_00
SCHEFS1S1E3,CA_000374_44535_00
SCHEFS1S1E4,CA_000374_44536_00
SCHEFS1S1E5,CA_000374_44537_00
SCHEFS1S1E6,CA_000374_44538_00
SCHEFS1S2E1,CA_000374_44539_00
SCHEFS1S2E2,CA_000374_44540_00
SCHEFS1S2E3,CA_000374_44541_00
SCHEFS1S2E4,CA_000374_44542_00
SCHEFS1S2E5,CA_000374_44543_00
SCHEFS1S2E6,CA_000374_44544_00
SCHEFS1S2E7,CA_000374_44545_00
SCHEFS1S2E8,CA_000374_44546_00
MAPROF1,CA_000432_3319_00
MSONMU1,CA_000013_3333_00
MGBOY01,CA_000428_3369_00
